Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,latitude,longitude,loja_0.5_milha,loja_1_milha,escola_0.5_milha,escola_1_milha
2019-08-18,1840.0,Pacific,28,M,B,M,possess marijuana for sale,33.9903,-118.4761,2,6,1,3
2019-08-17,1915.0,Southwest,20,M,B,F,transport/sell/furnish/etc marijuana,34.0073,-118.2894,1,4,7,15
2019-08-07,1750.0,Pacific,51,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-08-09,1040.0,Pacific,36,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-08-15,1245.0,Pacific,22,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-19,1305.0,Pacific,34,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-08-19,2130.0,Wilshire,41,M,B,F,possession marijuana for sale,34.0622,-118.3429,2,5,2,6
2019-08-29,930.0,Van Nuys,31,M,H,F,possession marijuana for sale,34.1794,-118.4596,1,2,1,6
2019-08-22,915.0,Southwest,31,M,B,M,possess 28.5 grams or less of marijuana,34.0091,-118.3089,0,1,4,14
2019-08-29,1400.0,Newton,42,M,H,M,sale/offer to sell/transport marijuana,34.0242,-118.2642,2,8,6,19
2019-08-25,2020.0,Pacific,30,M,W,M,poss of more than 28.5 grams of marijuana,33.9428,-118.4054,0,0,0,0
2019-08-29,930.0,Pacific,40,M,H,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-29,1500.0,N Hollywood,21,F,O,F,possession marijuana for sale,34.1362,-118.34200000000001,0,1,0,1
2019-08-29,930.0,Van Nuys,22,M,W,F,possession marijuana for sale,34.1794,-118.4596,1,2,1,6
2019-08-29,930.0,Pacific,20,M,H,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-30,1.0,Pacific,32,M,H,F,transport/sell/furnish/etc marijuana,33.9432,-118.4013,0,0,0,0
2019-08-25,1935.0,Pacific,26,M,H,M,possess 28.5 grams or less of marijuana,33.9432,-118.4013,0,0,0,0
2016-03-24,1515.0,N Hollywood,20,M,H,M,possess 28.5 grams or less of marijuana**,34.2003,-118.4115,0,0,3,5
2014-08-27,730.0,N Hollywood,19,F,H,F,transport/sell/furnish/etc marijuana,34.194,-118.4052,0,1,2,7
2014-10-16,2125.0,West Valley,19,M,H,F,possession marijuana for sale,34.1939,-118.536,0,0,0,8
2018-04-01,2310.0,77th Street,29,M,B,F,transport/sell/furnish/etc marijuana,33.9747,-118.2871,0,2,3,12
2019-08-15,1245.0,Pacific,29,M,B,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-08-28,1325.0,Pacific,26,M,H,F,transport/sell/furnish/etc marijuana,33.942,-118.4095,0,0,0,0
2019-09-04,1540.0,Southeast,19,F,H,M,sale/offer to sell/transport marijuana,33.9419,-118.2652,0,1,2,16
2019-09-04,1540.0,Southeast,26,M,B,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-05,2220.0,Pacific,23,M,W,M,poss marijuana or concentrated cannabis,33.9428,-118.4054,0,0,0,0
2019-09-04,1540.0,Southeast,29,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-04,1540.0,Southeast,21,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-08-28,1340.0,Southeast,33,F,H,M,sale/offer to sell/transport marijuana,33.9555,-118.2871,0,1,6,15
2019-08-31,810.0,Newton,27,M,H,M,cultivating <6 marijuana plants,33.9862,-118.2794,1,3,3,15
2019-09-04,1540.0,Southeast,26,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-04,1540.0,Southeast,29,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-04,1540.0,Southeast,25,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-08-31,830.0,Central,40,M,B,I,smoke/ingest marijuana in public place,34.0446,-118.245,8,18,0,5
2014-02-02,940.0,West Valley,40,F,W,M,possess 28.5 grams or less of marijuana**,34.1599,-118.4766,0,2,2,2
2019-09-04,1540.0,Southeast,22,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-01,1900.0,Pacific,30,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-08-31,1620.0,Pacific,20,F,B,M,possess marijuana for sale,33.9926,-118.4787,2,7,1,2
2019-08-31,1620.0,Pacific,37,M,B,M,possess marijuana for sale,33.9926,-118.4787,2,7,1,2
2019-08-28,1540.0,Southeast,31,M,H,M,possess marijuana for sale,33.9555,-118.2782,1,2,4,16
2019-09-04,1540.0,Southeast,26,F,H,M,possess marijuana for sale,33.9419,-118.2652,0,1,2,16
2019-09-11,1715.0,Southeast,25,F,H,M,possess marijuana for sale,33.8843,-118.2913,2,2,1,4
2019-09-11,1715.0,Southeast,21,F,H,M,possess marijuana for sale,33.8843,-118.2913,2,2,1,4
2019-09-09,910.0,Pacific,21,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-09-14,930.0,Pacific,34,M,B,F,transport/sell/furnish/etc marijuana,33.943000000000005,-118.4035,0,0,0,0
2019-09-09,1305.0,Southeast,25,M,B,M,possess marijuana for sale,33.933,-118.2783,0,1,2,12
2019-09-11,1005.0,Pacific,25,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-09-11,1715.0,Southeast,22,M,H,M,possess marijuana for sale,33.8843,-118.2913,2,2,1,4
2019-09-09,1305.0,Southeast,23,M,B,M,possess marijuana for sale,33.933,-118.2783,0,1,2,12
2019-09-11,1650.0,Foothill,55,M,O,M,cultivating <6 marijuana plants,34.2179,-118.3665,1,2,2,4
2019-09-05,1540.0,Pacific,32,M,B,M,possess marijuana for sale,33.9472,-118.3909,0,1,0,1
2019-09-09,1140.0,Southeast,40,F,W,M,possess marijuana for sale,33.941,-118.2781,0,2,3,14
2019-09-11,1650.0,Foothill,44,M,W,M,cultivating <6 marijuana plants,34.2179,-118.3665,1,2,2,4
2019-09-09,1305.0,Southeast,26,M,H,M,possess marijuana for sale,33.933,-118.2783,0,1,2,12
2019-09-14,1125.0,Pacific,29,M,B,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-09-11,1715.0,Southeast,23,M,H,M,possess marijuana for sale,33.8843,-118.2913,2,2,1,4
2019-09-09,1305.0,Southeast,21,F,H,M,possess marijuana for sale,33.933,-118.2783,0,1,2,12
2019-09-11,1005.0,Pacific,30,M,B,F,transport/sell/furnish/etc marijuana,33.9433,-118.4072,0,0,0,0
2019-09-06,1630.0,Central,40,M,B,F,transport/sell/furnish/etc marijuana,34.043,-118.242,5,17,0,5
2019-09-11,1650.0,Foothill,41,M,W,M,cultivating <6 marijuana plants,34.2179,-118.3665,1,2,2,4
2019-09-11,1230.0,Van Nuys,28,M,H,F,cultivate >6 marij plants viol envrnt law,34.2048,-118.4531,0,2,3,9
2019-09-18,1740.0,Olympic,61,M,B,F,possession marijuana for sale,34.04,-118.2876,0,5,5,16
2019-09-13,2320.0,Pacific,29,M,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-09-19,1511.0,Topanga,18,F,W,M,possess 28.5 grams or less of marijuana,34.1593,-118.5756,0,0,0,5
2019-09-20,1100.0,Pacific,51,F,B,F,transport/sell/furnish/etc marijuana,33.944,-118.4073,0,1,0,0
2019-09-18,1610.0,Pacific,32,F,H,F,transport/sell/furnish/etc marijuana,33.9428,-118.4054,0,0,0,0
2019-09-02,1855.0,Hollenbeck,27,M,H,M,sale/offer to sell/transport marijuana,34.0295,-118.2047,2,3,5,18
2019-09-27,1545.0,77th Street,25,F,B,M,possess marijuana for sale,33.9616,-118.2782,0,2,3,19
2019-09-27,1541.0,Pacific,24,M,H,F,transport/sell/furnish/etc marijuana,33.9449,-118.4059,0,1,0,0
2019-09-26,1235.0,Southeast,20,M,H,M,possess marijuana for sale,33.9393,-118.2652,0,0,4,14
2019-09-27,1210.0,77th Street,20,F,H,M,possess marijuana for sale,33.9661,-118.2849,0,1,4,14
